Enjin Coin (ENJ),0.139675
Siacoin (SC),0.019250
Cofound.it (CFI),0.103809
Bitcoin Cash (BCH),1237.97
district0x (DNT),0.095019
E-Dinar Coin (EDR),0.022327
Safe Exchange Coin (SAFEX),0.018618
Centrality (CENNZ),0.409997
Datawallet (DXT),0.056466
3303
LATOKEN (LA),0.243805
italNote (XDN),0.013843
SpaceChain (SPC),0.048255
Refereum (RFR),0.017263
Dentacoin (DCN),0.001121
Vertcoin (VTC),2.57
SingularityNET (AGI),0.223351
Credits (CS),0.548919
Burst (BURST),0.025003
Lunyr (LUN),13.07
Trinity Network Credit (TNC),0.130831
Ink (INK),0.183269
bitCNY (BITCNY),0.165441
High Performance Blockchain (HPB),3.52
Golem (GNT),0.593180
754
CPChain (CPC),0.140742
(IHT),0.180352
SwftCoin (SWFTC),0.015578
Pura (PURA),0.320596
2

145661
Storj (STORJ),1.13
Game.com (GTC),0.346388
TenX (PAY),1.62
Achain (ACT),0.286343
Substratum (SUB),0.723216
Zcash (ZEC),278.41
EOS (EOS),11.62
Medicalchain (MTN),0.153283
PayPie (PPP),1.15
DADI (DADI),0.300734
TokenClub (TCT),0.041016
Dogecoin (DOGE),0.005603
ReddCoin (RDD),0.008016
VeriCoin (VRC),0.707262
DigiByte (DGB),0.034423
SHIELD (XSH),0.083406
Tether (USDT),0.999096
Odyssey (OCN),0.024096
Metal (MTL),4.61
IoT Chain (ITC),1.54
Santiment Network Token (SAN),1.92
Cobinhood (COB),0.095500
DeepOnion (ONION),2.36
Jibrel Network (JNT),0.289988
ION (ION),2.98
BLOCKv (VEE),0.054006
OneRoot Network (RNT),0.079757
ugChain (UGC),0.058761
Triggers (TRIG),1.63
Soarcoin (SOAR),0.035790
Aragon (ANT),3.95
Greencoin (GRE),0.017818
Bean Cash (BITB),0.010600
Paragon (PRG),0.274042
Neblio (NEBL),11.58
Restart Energy MWAT (MWAT),0.051566
SpankChain (SPANK),0.185006
BABB (BAX),0.001898
ShipChain (SHIP),0.198267
Matrix AI Network (MAN),0.883949
YEE (YEE),0.017855
Nxt (NXT),0.205167
Byteball Bytes (GBYTE),271.82
Populous (PPT),27.29
Decred (DCR),65.31
Bluzelle (BLZ),0.567671
Pepe Cash (PEPECASH),0.040638
Stratis (STRAT),5.91
QASH (QASH),0.782914
Trade Token (TIO),0.259190
ProChain (PRA),0.398290
Ethos (ETHOS),3.00
Dimecoin (DIME),0.000041
Hshare (HSR),8.11
Rock (RKT),0.145146
Cortex (CTXC),1.36
Bottos (BTO),0.134065
POA Network (POA),0.585086
VeChain (VEN),3.93
SONM (SNM),0.208037
SunContract (SNC),0.262872
Datum (DAT),0.048336
SIRIN LABS Token (SRN),0.360532
Blox (CDT),0.058613
SaluS (SLS),61.80
Blockport (BPT),0.359481
Gifto (GTO),0.307781
Litecoin (LTC),149.99
Bodhi (BOT),0.649894
Bitcoin Atom (BCA),0.999074
Mothership (MSP),0.152901
Skycoin (SKY),18.61
INS Ecosystem (INS),1.73
Electrify.Asia (ELEC),0.103885
DEW (DEW),0.687246
Havven (HAV),0.447686
Elastic (XEL),0.346113
SALT (SALT),3.48
Nano (NANO),7.28
Ontology (ONT),4.15
Viacoin (VIA),2.41
ChainLink (LINK),0.498185
Red Pulse (RPX),0.119504
Bitcore (BTX),9.18
STK (STK),0.082957
Maker (MKR),933.01
Matchpool (GUP),0.458678
Cryptonex (CNX),6.06
carVertical (CV),0.003560
Zoin (ZOI),1.25
Mobius (MOBI),0.106199
I/O Coin (IOC),1.40
Ark (ARK),3.32
FunFair (FUN),0.048611
BOScoin (BOS),0.249833
Blocktix (TIX),0.607348
Etherparty (FUEL),0.098005
Loom Network (LOOM),0.289780
Hydro Protocol (HOT),0.048957
Humaniq (HMQ),0.182312
Telcoin (TEL),0.002575
Internet Node Token (INT),0.369457
UpToken (UP),0.239775
Nimiq Exchange Token (NET),1.71
Delphy (DPY),1.09
HempCoin (THC),0.091940
Dropil (DROP),0.003821
XTRABYTES (XBY),0.077002
TokenPay (TPAY),8.58
EDUCare (EKT),0.080892
NavCoin (NAV),1.48
Gnosis (GNO),108.09
Bytecoin (BCN),0.004832
Kin (KIN),0.000228
DATA (DTA),0.017755
Peercoin (PPC),2.46
Cardano (ADA),0.290863
Unikoin Gold (UKG),0.267931
Omni (OMNI),39.01
StakeNet (XSN),0.423887
EchoLink (EKO),0.045752
Wings (WINGS),0.583139
Monaco (MCO),12.74
WeTrust (TRST),0.279350
Dai (DAI),0.996972
Synereo (AMP),0.313798
Factom (FCT),30.32
Cube (AUTO),0.017320
SmartMesh (SMT),0.073209
Aeternity (AE),2.44
EncrypGen (DNA),0.286488
Melon (MLN),66.64
Augur (REP),40.61
Hacken (HKN),3.42
indaHash (IDH),0.057509
QunQun (QUN),0.042457
Radium (RADS),5.64
Ethereum Classic (ETC),19.22
Covesting (COV),1.02
BridgeCoin (BCO),1.57
Clams (CLAM),4.71
Nexus (NXS),2.30
Zeusshield (ZSC),0.025738
Gulden (NLG),0.120777
PolySwarm (NCT),0.010771
ALQO (ALQO),0.355500
MaidSafeCoin (MAID),0.373881
